sample_name,seqcount
10249.C036.07SS,7722.0
10249.M007.01V,20757.0
10249.M005.01R,11600.0
10249.M007.03R,9715.0
10249.M046.02SS,15659.0
10249.M024.01R,18148.0
10249.C031.13SS,31386.0
10249.M026.01V,16665.0
10249.M025.02V,14092.0
10249.M024.03V,16674.0
10249.M034.01V,6138.0
10249.M001.03SS,30789.0
10249.M037.02V,10223.0
10249.M036.03V,24815.0
10249.M035.02R,31660.0
10249.M034.03R,9382.0
10249.M036.01R,20890.0
10249.M011.01SS,19325.0
10249.C034.11SS,8917.0
10249.M044.02R,24401.0
10249.M017.01R,18197.0
10249.M014.01SS,24989.0
10249.C031.11SS,9585.0
10249.M014.02R,6451.0
10249.M047.01R,6283.0
10249.M017.03V,12129.0
10249.C032.12SD,10737.0
10249.M043.01SS,14176.0
10249.M016.02V,7069.0
10249.M045.01V,5678.0
10249.M046.02V,6520.0
10249.M015.01V,8575.0
10249.M034.02R,9045.0
10249.M016.01SS,14501.0
10249.C033.11SS,8978.0
10249.M037.01R,11318.0
10249.M044.01SS,13577.0
10249.M035.01V,7668.0
10249.M041.01SS,6483.0
10249.C046.02SS,12343.0
10249.M037.03V,10013.0
10249.M016.03V,13369.0
10249.M017.02V,21921.0
10249.M014.01V,22202.0
10249.C043.03SS,9249.0
10249.M016.01R,16016.0
10249.M014.03R,6238.0
10249.M046.01R,19190.0
10249.M004.01R,21570.0
10249.M007.02R,17229.0
10249.M004.03V,11615.0
10249.M005.02V,15580.0
10249.M001.04R,29446.0
10249.M006.01V,12797.0
10249.M027.01V,15180.0
10249.C033.12SS,8550.0
10249.M024.02V,15630.0
10249.C036.08SS,13962.0
